seed_url,url,title
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-a-k/community-relations/market-square-jam,"market square jam | blacksburg, va"
https://www.blacksburg.gov/home,https://artscenter.vt.edu/index.html,home  | center for the arts | virginia tech
https://www.blacksburg.gov/home,https://www.blacksburg.gov/community/arts-and-culture/blacksburg-museum-and-cultural-foundation,"blacksburg museum and cultural foundation  | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/community/arts-and-culture/arts-and-cultural-district-incentive-zones,"arts and cultural district incentive zones | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/community/arts-and-culture,"arts and culture | blacksburg, va"
https://www.blacksburg.gov/home,https://gotomontva.com/,go to town - montgomery county - va regional tourism office
https://www.blacksburg.gov/home,https://www.blacksburg.gov/community/community-profile/libraries,"libraries | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/community/community-profile/housing,"housing | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/community/community-profile/hospitals,"hospitals | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/community/community-profile/history,"history | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/community/community-profile/education,"education | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/community/community-profile/demographics,"demographics | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/community/community-profile/airports,"airports | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/community/community-profile,"community profile | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-a-k/financial-services/budget-and-reports,"budget and reports | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/community/town-government/department-directors,"department directors | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/town-council/get-involved/council-appointed-boards-and-committees,"council appointed boards and committees | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/town-council/meetings/public-hearings,"public hearings  | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-l-z/town-manager,"town manager | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/town-council,"town council | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/community/town-government/welcome,"welcome | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/community/town-government,"town government | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/town-council,"town council | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments,"departments | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/business,"business | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/residents,"residents | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/community/community-profile,"community profile | blacksburg, va"
seed_url,url,title
https://www.blacksburg.gov/home,https://www.blacksburg.gov/home,"blacksburg, va | home"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/residents/parks-and-recreation/greenways,"parks and trails | blacksburg, va"
https://www.blacksburg.gov/home,https://www.golfthehill.com/,"blacksburg muni gc – blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/related-links/facilities-and-parks-directory,"facilities and parks directory  | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/Home/Components/FacilityDirectory/FacilityDirectory/50/2512,"dog park | facilities and parks directory  | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-l-z/parks-and-recreation/community-center,"community center | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-l-z/parks-and-recreation/aquatic-center,"aquatic center | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-l-z/parks-and-recreation/active-adults,"active adults activities | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-l-z/parks-and-recreation/programs,"programs | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/community/privacy-policy-and-disclaimer,"privacy policy and disclaimer | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/Home/Components/FacilityDirectory/FacilityDirectory/68/566,"shenandoah bike trail and park | parks and trails | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/related-links/facilities-and-parks-directory/-npage-3,"facilities and parks directory  | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/Home/Components/FacilityDirectory/FacilityDirectory/62/566,"nellies cave | parks and trails | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/related-links/facilities-and-parks-directory/-npage-2,"facilities and parks directory  | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/Home/Components/FacilityDirectory/FacilityDirectory/34/2512,"fire station #2 | facilities and parks directory  | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/,"blacksburg, va | home"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/Home/Components/FacilityDirectory/FacilityDirectory/78/2512?npage=3,wong park
https://www.blacksburg.gov/home,https://www.blacksburg.gov/Home/Components/FacilityDirectory/FacilityDirectory/76/2512?npage=3,"westover park | facilities and parks directory  | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/Home/Components/FacilityDirectory/FacilityDirectory/74/2512?npage=3,"toms creek park and softball field | facilities and parks directory  | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/Home/Components/FacilityDirectory/FacilityDirectory/38/2512?npage=2,"public works building | facilities and parks directory  | blacksburg, va"
